disease,allowed_foods,restricted_foods,max_calories,max_sodium,max_sugar,max_carbs,max_gi
Addisonian Crisis (Emergency),Salty Broth|Salted Pretzels|Juice|Crackers,Low Sodium|High Potassium,900,4000,30,130,75
Cushing’s (Pediatric),Chicken|Broccoli|Milk|Berries|Oats,Sugar|Sodium|Fast Food,600,500,15,70,55
PCOS (Weight Loss),Cinnamon|Salmon|Buckwheat|Seeds|Greens,Sugar|Refined Flour|White Rice|Potatoes,550,750,10,50,45
Metabolic Syndrome,Quinoa|Fish|Nuts|Leafy Greens|Avocado,Soda|Trans Fats|White Flour|Syrups,600,600,10,70,50
Non-Alcoholic Fatty Liver,Coffee|Tofu|Legumes|Garlic|Greens,Alcohol|High Fructose Corn Syrup|Fried Food,550,700,5,50,50
Hepatitis B (Recovery),Lean Protein|Rice|Cooked Veggies|Honey,Alcohol|Salt|Raw Fish|Fried Food,750,600,25,110,65
Cirrhosis (Compensated),Chicken|Rice|Pasta|Vegetables|Eggs,Alcohol|Raw Shellfish|Excessive Salt,750,800,25,110,65
Cirrhosis (Decompensated),White Bread|Honey|Pasta|Boiled Eggs,Salt|Animal Protein (Excess)|Alcohol|Raw Fish,700,400,30,130,75
Kala-Azar Recovery,High Protein Dals|Eggs|Rice|Mashed Veggies|Bananas,Fiber-rich Skins|Oily Gravies|Spicy Chillies|Raw Salads,750,600,20,100,65
Chikungunya (Chronic Phase),Turmeric|Ginger|Fatty Fish|Walnuts|Calcium-rich Curd,Refined Sugar|Processed Flour|Red Meat|Excessive Caffeine,600,700,10,75,55
Post-Hernia Surgery,Khichdi|Boiled Vegetables|Clear Soup|Curd|Toast,Heavy Spices|Fried Snacks|Raw Onion|Lentils with Skin,550,500,15,80,60
Post-Appendectomy (Stage 1),Clear Broth|Gelatin|Apple Juice|Coconut Water,Solid Foods|Dairy|Fried Food|Spicy Masalas,400,400,20,90,75
Dengue (Critical Phase),Papaya Leaf Extract|Coconut Water|Pomegranate Juice|Rice Kanji,Solid Meat|Oily Food|Red/Dark Colored Foods|Caffeine,500,800,25,110,75
Cystic Fibrosis (Pediatric),Peanut Butter|Eggs|Whole Milk|Avocado|Paneer,Low-calorie Snacks|Diet Soda|Fiber-rich Fillers,1000,1500,30,120,70
Leptospirosis Recovery,Coconut Water|Moong Dal Soup|Boiled Rice|Warm Fluids,Alcohol|Fried Food|High Salt|Spicy Masalas,600,500,20,90,65
Filariasis (Lymphedema Diet),Leafy Greens|Turmeric|Garlic|Fish|Water,Table Salt|Pickles|Papad|Processed Meat|Alcohol,600,300,15,75,55
Vitamin B12 Deficiency,Eggs|Milk|Paneer|Chicken|Fish|Fortified Cereals,Strict Vegan Diet (unmonitored)|Excessive Alcohol,750,800,20,100,60
Xerophthalmia (Advanced),Spinach|Carrots|Egg Yolks|Liver|Papaya|Drumsticks,Processed Sugar|Soda|Empty Calories,700,700,20,110,65
Angular Stomatitis,Milk|Lentils|Eggs|Spinach|Whole Grains,Spicy Foods|Citrus|Alcohol|Salty Snacks,700,600,15,90,60
Scurvy (Acute),Oranges|Amla|Lemon|Guava|Capsicum,Highly Processed Snacks|Deep Fried Food,650,800,30,100,65
Rickets (Pediatric),Fish|Egg Yolks|Fortified Milk|Mushrooms|Cheese,High Phytate Grains|Excessive Fiber,750,700,20,90,65
Kwashiorkor (Stage 2),Milk|Peanuts|Soya|Eggs|Lentils|Rice,Cassava-only Diets|Yam-only Diets,1100,600,20,110,65
Marasmus (Stage 2),Banana|Peanut Butter|Full-fat Yogurt|Rice|Ghee,Fasting|Low Nutrient Broths,1200,700,30,140,70
Hypokalemia (Acute),Bananas|Coconut Water|Potatoes|Spinach|Yogurt,Licorice|Excessive Salt|Diuretics,750,1000,25,120,65
Hyperkalemia (Acute),Apples|White Rice|Cabbage|Green Beans|Pears,Banana|Spinach|Potatoes|Oranges|Coconut Water,550,400,20,90,65
Hyponatremia (Severe),Salted Kanji|Pretzels|Soup|Boiled Chicken|Salted Nuts,Plain Water (Excess)|Unsalted Rice,900,3500,20,110,70
Hypernatremia (Severe),Fresh Fruit|Unsalted Dalia|Vegetables|Distilled Water,Pickles|Cheese|Papad|Canned Fish,600,200,15,80,60
Hypocalcemia (Severe),Ragi|Paneer|Tofu|Small Fish with Bones|Milk,High Phytic Acid|Soda|Caffeine,800,700,20,90,65
Hypercalcemia (Acute),Lentils|Oats|Fish|Vegetables|Corn,Calcium Supplements|Fortified Milk|Antacids,600,800,20,100,65
Hypophosphatemia,Milk|Meat|Cheese|Eggs|Pumpkin Seeds,Alcohol|Refined Sugar,750,800,25,110,65
Hyperphosphatemia,Egg Whites|Apples|White Bread|Lauki|Torai,Whole Grains|Dals|Dark Cola|Dairy,600,500,20,90,70
Hypomagnesemia,Almonds|Spinach|Pumpkin Seeds|Avocado|Dark Chocolate,Alcohol|Excessive Refined Sugar,700,700,20,110,60
Hypermagnesemia,Chicken|White Rice|White Bread|Lettuce|Apples,Spinach|Nuts|Seeds|Laxatives,700,800,25,120,65
Chronic Migraine (Indian),Ginger Tea|Magnesium Greens|Quinoa|Fresh Paneer,Aged Pickles|Soy Sauce|MSG|Red Wine|Chocolate,700,600,15,90,60
Meniere’s Disease,Fresh Fruit|Vegetables|Unsalted Grains|Chicken,Table Salt|Caffeine|Alcohol|Papad|Pickles,650,400,20,80,60
Oral Thrush (Indian Context),Unsweetened Curd|Garlic|Boiled Veggies|Coconut Oil,Sugar|Honey|Jaggery|Sweet Fruits|White Flour,600,700,0,40,40
Gingivitis (Severe),Amla|Guava|Yogurt|Green Tea|Warm Water Rinse,Sticky Toffees|Soda|Sugar|White Bread,650,700,10,75,60
Acute Gastritis,Rice Kanji|Applesauce|Toast|Boiled Chicken|Banana,Chillies|Coffee|Alcohol|Fried Samosas|Onion,500,500,15,85,65
Chronic Gastritis,Oatmeal|Fish|Cooked Vegetables|Ginger|Buttermilk,Pickles|Vinegar|Caffeine|Citrus|Raw Pepper,600,600,15,90,60
Peptic Ulcer (Healing),Cabbage Juice|Milk|Oatmeal|Boiled Potatoes,Black Pepper|Chili Powder|Coffee|Fried Meat,600,600,15,90,65
Barrett's Esophagus,Oatmeal|Melon|Ginger|Boiled Chicken|Rice,Peppermint|Chocolate|Caffeine|Citrus|Alcohol,600,700,15,80,60
GERD (Pediatric),Rice Cereal|Pureed Pears|Mashed Banana|Boiled Chicken,Chocolate|Tomato Sauce|Spicy Gravy|Fried Food,500,400,15,80,65
Hyperlipidemia (Indian Urban),Oat Bran|Isabgol|Fish|Walnuts|Soya,Ghee|Butter|Vanaspati|Red Meat|Coconut Oil,600,500,10,70,55
Diverticulosis (High Fiber),Lentils|Oats|Whole Wheat|Guava with Seeds|Carrots,White Rice|Refined Flour|Low-fiber Meat,750,800,20,120,60
Diverticulitis (Flare),Clear Soup|White Rice|Gelatin|Apple Juice|Toast,Nuts|Seeds|Raw Veggies|Fruit Skins|Corn,500,800,25,110,75
Crohn’s (Flare-up),Skinless Chicken|White Rice|Cooked Carrots|Mashed Potatoes,Raw Salads|Seeds|Spicy Masalas|Dairy,600,700,15,100,75
Crohn’s (Remission),Lean Meat|Avocado|Peeled Fruit|Well-cooked Veggies,Tough Fibers|Seeds|Large Portions|Skins,700,800,20,110,65
Ulcerative Colitis (Flare),Boiled Fish|Eggs|White Rice|Applesauce,High Fiber|Dried Fruit|Nuts|Dairy|Spices,550,700,15,95,75
IBS-D (Diarrhea Predominant),Rice|Oats|Bananas|Curd|Carrots,Caffeine|Alcohol|Artificial Sweeteners|Fried Food,600,800,15,95,60
IBS-C (Constipation Predominant),Isabgol|Flaxseeds|Oats|Pears|Papaya,Cheese|White Rice|Red Meat|Processed Food,750,800,30,120,65
Celiac Disease (Indian Staples),Rice|Jowar|Bajra|Corn|Eggs|Pulses,Wheat|Maida|Sooji|Hing (with wheat),750,800,20,120,70
Non-Celiac Gluten Sensitivity,Rice|Potato|Fish|Eggs|Fruit|Vegetables,Wheat Roti|Pasta|Couscous|Upma(Sooji),700,800,25,110,70
Eosinophilic Esophagitis,Rice|Chicken|Potatoes|Pears|Apples,Dairy|Wheat|Eggs|Soy|Seafood|Nuts,700,800,20,105,65
Gout (Indian Acute Flare),Dairy|Tofu|Water|Complex Carbs|Cherries,Urad Dal|Red Meat|Seafood|Beer|Sugary Soda,650,750,15,100,55
Rheumatoid Arthritis (Indian Diet),Fatty Fish|Walnuts|Ginger|Turmeric|Berries,Refined Sugar|Fried Food|MSG|Red Meat,650,600,15,75,55
Osteoarthritis (Indian Context),Olive Oil|Fish|Garlic|Spinach|Ginger,White Sugar|Refined Flour|Saturated Fats,650,600,20,80,55
Osteoporosis (Indian Geriatric),Curd|Ragi|Paneer|Almonds|Spinach|Milk,Salt|Caffeine|Soda|Alcohol|Pickles,750,500,20,100,65
Hypothyroidism (Indian Context),Iodized Salt|Brazil Nuts|Eggs|Dairy|Chicken,Soy|Raw Cabbage|Raw Cauliflower|Peanuts,650,700,20,85,60
Hyperthyroidism (Indian Context),Cooked Cruciferous Veggies|Berries|Lean Meat|Potatoes,Iodized Salt|Seafood|Egg Yolks|Dairy,700,700,25,100,65
Addison’s Disease,Salty Broth|Salted Pretzels|Eggs|Chicken|Bananas,Low-salt Foods|Excessive Potassium,850,3000,25,110,65
Cushing's Syndrome (Indian),Spinach|Yogurt|Fish|Almonds|Dalia,Sugar|White Bread|Papad|Pickles|Preserved Foods,600,400,10,65,50
PCOS (Indian Weight Loss),Cinnamon|Methi Seeds|Salmon|Buckwheat|Greens,Jaggery|Sugar|Refined Flour|White Rice,550,700,5,55,45
Metabolic Syndrome (Indian),Quinoa|Fish|Nuts|Leafy Greens|Avocado,Soda|Trans Fats|White Flour|Syrups|Vanaspati,600,600,5,75,50
NAFLD (Indian Context),Coffee|Tofu|Green Tea|Legumes|Garlic|Greens,Alcohol|High Fructose Corn Syrup|Fried Snacks,550,700,5,50,50
Hepatitis B (Indian Recovery),Lean Protein|Rice|Cooked Veggies|Honey,Alcohol|Table Salt|Raw Fish|Fried Food,750,500,25,110,65
Cirrhosis (Indian Compensated),Chicken|Rice|Pasta|Vegetables|Eggs,Alcohol|Raw Shellfish|Excessive Salt|Pickles,750,600,25,110,65
Cirrhosis (Indian Decompensated),White Bread|Honey|Pasta|Boiled Eggs|Curd,Table Salt|Excessive Meat|Alcohol|Raw Fish,700,300,30,130,75
Ascites (Indian Severe),Fresh Fruits|Fresh Veggies|Unsalted Grains,Papad|Pickles|Canned Food|Table Salt|Cheese,600,150,20,95,65
Pancreatitis (Indian Acute),Clear Broth|Gelatin|Apple Juice|Coconut Water,Butter|Oil|Ghee|Meat|Nuts|Cream,450,500,20,100,80
Pancreatitis (Indian Chronic),Egg Whites|Moong Dal|Tofu|White Fish,Fried Food|Alcohol|Full-fat Dairy|Butter,550,600,15,90,60
Gallstones (Indian Prevention),Lentils|Oats|Pears|Bitter Gourd|Brown Rice,Ghee|Butter|Heavy Cream|Fried Food|Mutton,600,700,15,85,55
Post-Gallbladder Surgery,Rice|Toast|Skinless Chicken|Mashed Potatoes,Fried Pakoras|Creamy Gravy|Spicy Masalas,550,700,15,85,65
Diverticulosis (Asymptomatic),Popcorn|Beans|Nuts|Skins|Fiber-rich Veggies,Low Fiber|Refined Carbs,800,800,20,130,60
Colon Cancer (Prevention),Berries|Broccoli|Oats|Beans|Turmeric|Fish,Processed Meat|Charred Meat|Alcohol|Red Meat,700,700,15,100,55
Hemorrhoids (Indian),Oats|Prunes|Isabgol|Water|Papaya|Beans,Cheese|Spicy Food|White Bread|Processed Meat,750,800,30,120,65
Anal Fissure,Chia Seeds|Pears|Yogurt|Warm Water|Oats|Lauki,Red Meat|Hard Cheese|Low Fiber|Spicy Chili,700,700,25,110,65
Prostatitis,Pumpkin Seeds|Cooked Tomatoes|Water|Salmon|Watermelon,Spicy Food|Caffeine|Alcohol|Acidic Foods,700,700,20,100,65
Benign Prostatic Hyperplasia,Tomatoes|Soy|Berries|Nuts|Flaxseed|Fish,Red Meat|Dairy|Salt|Alcohol,650,600,20,90,60
Hyperuricosuria,Dairy|Vegetables|Eggs|Cherries|Complex Carbs,Red Meat|Gravy|Anchovies|Liver|Beer,700,600,20,100,60
Hypophosphatemia,Milk|Cheese|Nuts|Meat|Eggs|Whole Grains,Alcohol|Refined Sugar|Dark Colas,750,800,25,110,65
Hypermagnesemia,Chicken|Rice|White Bread|Lettuce|Green Beans,Spinach|Almonds|Nuts|Laxatives|Seeds,700,800,25,120,65
Lupus (Indian SLE),Fatty Fish|Olive Oil|Berries|Flax|Vegetables,Alfalfa|Garlic|Refined Flour|Red Meat,650,550,20,80,55
Rheumatic Fever,Vegetable Soup|Lean Chicken|Fruit Juice|Rice|Milk,Heavy Spices|Fried Food|High Salt|Papad,750,600,30,120,70
Fibromyalgia (Indian),Walnuts|Berries|Rice|Lean Protein|Ginger|Turmeric,MSG|Aspartame|Sugar|Nightshades,650,750,15,80,55
Multiple Sclerosis,Salmon|Walnuts|Leafy Greens|Avocado|Oats,Saturated Fat|Ghee|Dairy|Sugar|Processed Meat,650,650,20,80,55
Parkinson’s (Indian Context),Whole Grains|Fiber|Berries|Beans|Fish,High Protein (at Night)|Milk|Heavy Fats,700,650,20,90,60
Alzheimer’s (Indian MIND),Berries|Leafy Greens|Nuts|Turmeric|Olive Oil,Butter|Cheese|Red Meat|Sugary Sweets,650,600,20,80,55
Migraine (Low Tyramine),Fresh Chicken|Fresh Veggies|Grains|Eggs|Curd,Aged Pickles|Soy Sauce|Red Wine|MSG|Salami,700,600,20,95,60
Hypoglycemia (Indian Reactive),Paneer|Cheese|Whole Grain Bread|Turkey|Peanuts,Sugar|Honey|Jaggery|White Rice|Juice,600,800,5,45,40
SIBO (Indian Methane),Chicken|Eggs|Zucchini|Rice|Bitter Gourd,Dairy|Sugar|Complex Carbs|Beans|Onions,600,700,10,65,55
Gastroparesis (Indian Stage 1),Pureed Carrots|Yogurt|White Bread|Mashed Lauki,Raw Broccoli|Seeds|Fruit Skins|Fatty Mutton,550,600,15,90,75
Cystic Fibrosis (Adult Indian),Whole Milk|Paneer|Avocado|Nuts|Butter|Parathas,Diet Foods|Low-calorie Snacks|Soda,1200,2000,40,150,75
Cushing’s Syndrome (Geriatric),Spinach|Greek Yogurt|Fish|Almonds|Oats,Sugar|White Bread|Papad|Pickles|Canned Food,600,400,15,65,50
Addison’s Disease (Crisis Post),Salty Broth|Salted Pretzels|Juice|Crackers|Chicken,Potassium-heavy (initially)|Low Salt,900,3500,30,130,75
PKU (Indian Pediatric),Low-protein Grains|Fruits|Vegetables|Special Formula,Meat|Dairy|Eggs|Nuts|Aspartame,650,800,20,135,70
Homocystinuria (Indian),Low-protein Grains|Fruits|Vegetables|Rice,Meat|Fish|Eggs|Dairy|Beans,650,800,20,120,70
Tyrosinemia (Indian),Fruit|Vegetables|Low-protein Grains|Rice,High Protein|Meat|Cheese|Eggs|Paneer,700,800,25,120,75
Lactose Intolerance (Indian Severe),Soy Milk|Coconut Milk|Tofu|Meat|Veggies,Milk|Ice Cream|Paneer|Cream|Kheer,700,800,25,100,65
SIBO (Indian Hydrogen),Beef|Fish|Carrots|White Rice|Eggs|Karela,Beans|Onions|Garlic|Fructose|Bread,650,800,10,65,55
Oral Thrush (Indian Chronic),Curd|Garlic|Lean Meat|Leafy Greens|Turmeric,Sugar|Jaggery|Honey|Sweet Fruit|Maida,600,750,0,45,40
Gingivitis (Pediatric Indian),Amla Juice|Vitamin C Fruits|Yogurt|Water,Sticky Candy|Soda|Sweets|White Bread,650,700,10,75,60
Gastritis (Acute Indian),Boiled Chicken|Applesauce|Rice|Toast|Coconut Water,Coffee|Spices|Alcohol|Tomato|Samosa,550,550,15,85,65
Gastritis (Chronic Indian),Oatmeal|Fish|Cooked Veggies|Ginger|Melon,Chili|Pepper|Caffeine|Citrus|Raw Onions,600,600,15,90,60
Barrett’s Esophagus (Indian),Oatmeal|Melon|Ginger|Boiled Chicken|Rice,Fried Food|Citrus|Caffeine|Chocolate|Alcohol,600,700,15,80,60
Diverticula Flare (Indian),Clear Broth|White Rice|Gelatin|Apple Juice|Toast,Seeds|Nuts|Fiber|Raw Fruit|Corn,500,900,25,120,80
Crohn’s Flare (Indian),Fish|White Rice|Cooked Carrots|Mashed Potatoes,Raw Salads|Seeds|Popcorn|Spicy|Dairy,600,700,15,100,75
Ulcerative Colitis (Flare Indian),Skinless Chicken|Eggs|White Rice|Applesauce,High Fiber|Dried Fruit|Nuts|Dairy|Alcohol,550,750,15,95,75
Leukemia (Chemo Support),Pasteurized Dairy|Cooked Chicken|Peeled Fruit|Rice|Ginger,Raw Seafood|Unpasteurized Milk|Blue Cheese|Raw Salads|Spicy Chili,850,700,20,110,60
Silicosis (Lung Health),Walnuts|Flaxseeds|Turmeric|Berries|Warm Soups,Cold Drinks|Excessive Dairy|Deep Fried Foods|Refined Sugar,700,600,15,90,55
Lead Poisoning (Nutritional),Milk|Curd|Spinach|Lentils|Citrus Fruits,Empty Calories|Fasting|High-Fat Junk Food,750,700,20,100,60
Panic Disorder (Calming Diet),Oatmeal|Chamomile Tea|Almonds|Dark Chocolate|Bananas,Caffeine|Alcohol|High-Sugar Energy Drinks|MSG,600,600,10,75,50
Chronic Fatigue (Indian Context),Sprouted Moong|Amla|Nuts|Coconut Water|Dalia,Refined Flour|White Sugar|Heavy Fried Snacks|Caffeine,750,700,15,100,50
Hypovitaminsis D (Pediatric),Egg Yolks|Fortified Milk|Mushrooms|Paneer|Fatty Fish,High Phytate Grains|Excessive Fiber,800,700,25,110,65
Oral Submucous Fibrosis,Mashed Khichdi|Cold Milk|Pureed Veggies|Turmeric Paste,Betel Nut|Tobacco|Chili|Hot Beverages|Crunchy Snacks,650,500,15,95,70
Cystic Fibrosis (Adult Recovery),Peanut Butter|Full Fat Milk|Butter|Avocado|Eggs|Fish,Diet Foods|Low-calorie Snacks|High-fiber Fillers,1200,1800,35,150,75
Gastric Dumping Syndrome,Eggs|Paneer|Chicken|Cooked Veggies|Fiber,Fruit Juice|Honey|Sugar|Liquids with Meals|White Bread,450,600,0,30,40
Wilson’s Disease (Stage 1),White Rice|Chicken|Egg Whites|Vegetables,Chocolate|Mushrooms|Organ Meat|Shellfish|Nuts,700,800,25,120,65
Post-Stoke Recovery (Soft),Mashed Rice|Stewed Apples|Pureed Dal|Thickened Juices,Whole Nuts|Sticky Bread|Tough Meat|Thin Water (if choking),750,600,20,110,65
Anaphylaxis Recovery,Boiled Rice|Plain Toast|Steamed Carrots|Apple Juice,Allergens (Nuts/Dairy/Soy)|Spices|Complex Sauces,600,500,15,100,70
Chronic Pancreatitis (Low Fat),Egg Whites|Skimmed Milk|Moong Dal Soup|White Fish,Ghee|Butter|Oil|Fried Samosas|Nuts|Pork,550,600,10,90,60
Hypertriglyceridemia (Acute),Salmon|Flaxseed|Leafy Greens|Oats|Walnuts,Alcohol|Sugar|Refined Flour|Coconut Oil|Butter,600,600,0,45,45
Adrenal Insufficiency,Sea Salt|Eggs|Chicken|Avocado|Whole Grains,Caffeine|Alcohol|Sugar|Low-Sodium Diet,850,3000,15,90,55
Hypokalemic Periodic Paralysis,Spinach|Bananas|Potatoes|Coconut Water,High Carb Meals|Excessive Sugar|Alcohol,700,800,10,60,45
Hypoglycemia (Unawareness),Peanut Butter|Whole Wheat Bread|Paneer|Chicken|Nuts,Fruit Juice|Honey|Soda|White Rice|Sweets,650,800,5,40,40
Acanthosis Nigricans (Metabolic),Karela|Methi|Sprouts|Berries|Fatty Fish,Sugar|Jaggery|Maida|White Rice|Mango|Sweets,550,750,5,50,45
Post-Bariatric (Week 3),Pureed Chicken|Cottage Cheese|Soft Scrambled Eggs,Solid Meat|Raw Veggies|Sugar|Carbonated Drinks,400,600,0,20,30
Menopause (Osteoporotic),Ragi|Paneer|Almonds|Spinach|Soy Milk|Curd,Caffeine|Alcohol|Excessive Salt|Soda|Pickles,750,500,20,95,60
Lipedema (Lymphatic),Green Tea|Leafy Greens|Walnuts|Berries|Water,Dairy|Gluten|Red Meat|Excessive Salt|Sugar,650,400,15,75,50
Hyperoxaluria (Type 2),White Rice|Boiled Chicken|Dairy|Cauliflower,Spinach|Beets|Almonds|Chocolate|Tea,700,800,20,110,65
Uremia (Dietary Stage),White Bread|Rice|Apples|Guava|Cabbage,Red Meat|Spinach|Potatoes|Bananas|Salt,600,300,20,100,70
Hypoproteinemia (Hepatic),Soya Granules|Egg Whites|Skimmed Milk|Lentils,Fried Foods|Heavy Spices|Butter|Alcohol,900,500,15,80,60
Homocystinuria (Pediatric),Low-protein Flour|Fruits|Vegetables|Rice,Meat|Fish|Eggs|Dairy|Lentils|Nuts,650,800,25,125,70
Biliary Atresia (Fat Malabsorption),MCT Oil|Lean Chicken|Fruits|Pureed Veggies,Butter|Fried Pakoras|Creamy Gravy|Whole Milk,600,500,20,80,65
Hypomagnesemia (Geriatric),Almonds|Spinach|Dark Chocolate|Avocado|Bananas,Alcohol|Excessive White Sugar|Processed Bread,700,600,20,110,60
Hypermagnesemia (Renal),Chicken|White Rice|White Bread|Lettuce|Green Beans,Spinach|Almonds|Pumpkin Seeds|Nuts|Seeds,700,800,25,120,65
Hyperuricosuria (Gouty),Curd|Cherries|Water|Tofu|Carrots|Rice,Organ Meats|Shellfish|Red Meat|Beer|Gravy,700,600,15,110,60
Maple Syrup Urine Disease,Low-protein Pasta|Fruit|Honey|Vegetables,Meat|Eggs|Dairy|Nuts|Beans|Paneer,700,800,30,140,75
Phenylketonuria (Geriatric),Vegetables|Fruits|Low-protein Bread|Corn,Meat|Fish|Eggs|Dairy|Nuts|Soy|Paneer,650,800,25,130,70
SIBO (Hydrogen Dominant),Chicken|White Rice|Eggs|Carrots|Zucchini,Onions|Garlic|Lentils|Apples|Wheat|Milk,600,800,10,70,55
Oral Thrush (Infant/Pediatric),Cold Curd|Mashed Banana|Coconut Water|Pureed Pears,Sugar|Honey|Sticky Candy|Hot Milk,500,400,15,90,70
Acute Gastritis (Indian),Coconut Water|Rice Kanji|Banana|Toast|Buttermilk,Pickles|Chillies|Samosas|Coffee|Alcohol,550,500,15,90,70
Chronic Gastritis (Indian),Oatmeal|Fish|Cooked Vegetables|Ginger|Curd,Raw Onion|Pepper|Citrus|Fried Food|Pickles,600,650,15,95,60
Barrett’s Esophagus (Adult),Melon|Oatmeal|Boiled Chicken|Ginger|Rice,Mint|Chocolate|Caffeine|Spices|Citrus|Alcohol,600,700,15,85,60
GERD (Severe Indian),Oatmeal|Ginger|Melon|Curd|Boiled Fish|Lauki,Chillies|Hot Tea|Fried Pakoras|Onion|Garlic,600,600,15,80,60
IBS-D (Infection Triggered),Curd Rice|Bananas|Oats|Carrots|Plain Toast,Caffeine|Alcohol|Spicy Chili|Fried Snacks,600,800,15,100,60
IBS-C (Indian Fiber Focus),Isabgol|Papaya|Warm Water|Oats|Whole Wheat,Cheese|White Rice|Red Meat|Processed Foods,750,800,30,120,65
Non-Celiac Gluten Sensitivity,Buckwheat (Kuttu)|Rice|Corn|Jowar|Bajra,Wheat|Maida|Sooji|Semolina|Barley,700,800,20,110,70
Diverticulitis (Acute Flare),Clear Broth|Apple Juice|Gelatin|White Rice,Popcorn|Seeds|Raw Veggies|Whole Wheat,500,900,20,110,80
Crohn’s (Indian Flare),Fish|White Rice|Cooked Carrots|Moong Dal soup,Raw Salads|Seeds|Chili|Fried Foods|Dairy,600,750,15,105,75
Ulcerative Colitis (Indian),Boiled Fish|Eggs|White Rice|Applesauce|Curd,High Fiber|Dried Fruit|Nuts|Spicy Masalas,550,750,15,100,75
Rheumatoid Arthritis (Geriatric),Fatty Fish|Walnuts|Turmeric|Ginger|Spinach,Red Meat|Refined Oil|Sugar|Processed Meats,650,600,15,80,55
Osteoporosis (Ragi Diet),Ragi (Finger Millet)|Curd|Paneer|Almonds|Milk,Table Salt|Caffeine|Soda|Pickles|Papad,750,500,20,105,65
Hypothyroidism (Indian Case),Iodized Salt|Eggs|Dairy|Chicken|Whole Wheat,Raw Soy|Raw Cabbage|Raw Cauliflower|Peanuts,650,700,20,90,60
Addison’s Disease (Stable),Salty Broth|Salted Pretzels|Eggs|Chicken|Bananas,Fasting|Low Salt Foods|Extreme Potassium,850,3500,25,120,65
PCOS (Indian Insulin Res.),Cinnamon|Sprouts|Salmon|Buckwheat|Spinach,White Rice|Sweets|Potatoes|Refined Flour,550,700,5,55,45
Metabolic Syndrome (Indian),Jowar|Fish|Nuts|Greens|Avocado|Amla,Soda|Trans Fats|White Flour|Syrups|Vanaspati,600,600,5,80,50
NAFLD (Indian Fatty Liver),Coffee|Tofu|Legumes|Garlic|Greens|Dalia,Alcohol|High Fructose Corn Syrup|Fried Samosas,550,700,5,55,50
Hepatitis B (Chronic Recovery),Lean Protein|Rice|Cooked Veggies|Honey|Curd,Alcohol|High Salt|Raw Seafood|Deep Fried Foods,750,500,25,110,65
Cirrhosis (Indian Low Sodium),Chicken|Rice|Pasta|Vegetables|Eggs,Papad|Pickles|Alcohol|Raw Fish|Table Salt,750,300,20,110,65
Ascites (Severe Edema),Unsalted Grains|Fresh Fruits|Fresh Veggies,Salt|Canned Food|Preserved Pickles|Cheese,600,150,15,95,65
Pancreatitis (Chronic Indian),Egg Whites|Skimmed Milk|Moong Dal|Tofu,Butter|Oil|Ghee|Red Meat|Nuts|Cream,550,600,15,95,60
Gallstones (Indian Diet),Lentils|Oats|Pears|Lauki|Brown Rice,Mutton|Ghee|Butter|Heavy Cream|Fried Food,600,700,15,90,55
Hemorrhoids (High Fiber Indian),Isabgol|Prunes|Water|Beans|Papaya|Oats,Cheese|Spicy Chili|White Bread|Mutton,750,800,30,125,65
Benign Prostatic Hyperplasia,Cooked Tomatoes|Soy|Berries|Nuts|Fish,Red Meat|Dairy|Excessive Salt|Alcohol,650,650,20,95,60
Hypophosphatemia (Chronic),Milk|Meat|Cheese|Eggs|Nuts|Whole Grains,Alcohol|Refined Sugar|Dark Colas,750,800,25,110,65
Hypermagnesemia (Symptomatic),Chicken|Rice|White Bread|Apples,Laxatives|Spinach|Almonds|Nuts|Seeds,700,800,25,125,65
Lupus (Indian Flare),Fatty Fish|Olive Oil|Berries|Flax|Vegetables,Alfalfa|Garlic|Refined Flour|Red Meat|Spices,650,500,20,85,55
Fibromyalgia (Pain Management),Walnuts|Berries|Quinoa|Ginger|Turmeric,MSG|Sugar|Aspartame|Nightshades,650,750,20,95,55
Multiple Sclerosis (Anti-Inflam),Salmon|Walnuts|Leafy Greens|Avocado|Oats,Saturated Fat|Ghee|Sugar|Processed Meats,650,650,20,85,55
Parkinson’s (Levodopa Diet),Whole Grains|Fiber|Berries|Beans|Fish,High Protein (Daytime)|Milk|Heavy Fats,700,600,20,95,60
Alzheimer’s (Indian MIND),Berries|Turmeric|Leafy Greens|Nuts|Fish,Butter|Cheese|Red Meat|Fried Snacks,650,600,20,85,55
Migraine (Indian Triggers),Ginger Tea|Fresh Paneer|Quinoa|Eggs|Greens,Pickles|Soy Sauce|MSG|Chocolate|Caffeine,700,600,20,100,60
Gastroparesis (Indian Soft),Pureed Carrots|Yogurt|White Bread|Mashed Lauki,Raw Broccoli|Seeds|Fruit Skins|Fried Mutton,550,650,15,95,75
Cystic Fibrosis (Adult Recovery),Whole Milk|Paneer|Avocado|Nuts|Paratha,Diet Foods|Soda|Low-calorie Snacks,1200,1800,40,150,75
Homocystinuria (Stage 1),Low-protein Grains|Fruits|Vegetables|Rice,Meat|Fish|Eggs|Dairy|Beans|Lentils,650,800,25,125,70
Tyrosinemia (Stage 1),Fruit|Vegetables|Low-protein Grains|Rice,Meat|Cheese|Eggs|Paneer|High Protein,700,800,25,125,75
Lactose Intolerance (Severe),Almond Milk|Coconut Milk|Tofu|Meat|Veggies,Milk|Ice Cream|Paneer|Kheer|Cream,700,800,25,105,65
