name,calories,sodium,sugar,carbs,gi,ingredients
Tinda (Apple Gourd) Masala,120,240,4,15,25,"Tinda|Tomato Gravy"
Boiled Chickpeas with Mint,170,280,2,25,30,"Chickpeas|Fresh Mint"
Soya Milk & Almond Smoothie,150,60,8,12,30,"Soya Milk|Almonds|Dates"
Buckwheat Roti,140,80,1,28,48,"Buckwheat Flour"
Jowar & Methi Muthia,160,350,3,30,48,"Sorghum Flour|Fenugreek"
Coriander & Garlic Soup,60,380,2,8,20,"Coriander|Garlic|Veg Stock"
Sesame Brittle (Stevia),140,30,12,18,50,"Sesame Seeds|Stevia"
Stuffed Parwal (Pointed Gourd),130,290,4,12,28,"Pointed Gourd|Besan Stuffing"
Curd Poha (Healthy),190,310,4,32,55,"Poha|Yogurt|Pomegranate"
Millet Dosa,160,320,1,32,50,"Mixed Millets|Urad Dal"
